Route_ID,Start_Station,End_Station,Hour,Weekday,Distance_km,Travel_Time_mins,Peak_Hour,Passenger_Demand,Speed_kmph,Congestion_Level
Green_R2,Al Suwaidi,Qasr Al Hokm,15,Thursday,7.8,12.3,No,360,37.9,Low
Red_R1,King Abdullah Financial District,King Fahad Road,23,Wednesday,2.02,5.6,No,349,21.6,Low
Blue_R3,Prince Mohammed Bin Abdulaziz Street,Olaya Street,23,Friday,24.48,49.5,No,544,29.7,Medium
Blue_R3,Olaya Street,Al Aziziyah,3,Tuesday,14.67,33.7,No,469,26.1,Low
Green_R2,King Abdullah Financial District,King Fahad Road,23,Wednesday,18.75,25.6,No,533,44,Medium
Green_R2,Prince Mohammed Bin Abdulaziz Street,Olaya Street,2,Wednesday,24.43,34.2,No,514,42.9,Low
Yellow_R4,Qasr Al Hokm,Al Malaz,4,Monday,9.86,12.9,No,347,45.9,Low
Yellow_R4,King Khalid International Airport,Al Malaz,11,Monday,20.76,28.4,No,284,43.9,Low
Yellow_R4,Al Hayer,Olaya Street,20,Tuesday,11.05,17,No,338,38.9,Low
Blue_R3,Olaya Street,Prince Mohammed Bin Abdulaziz Street,4,Sunday,22,56.2,No,537,23.5,Low
Red_R1,King Fahad Road,King Khalid International Airport,3,Saturday,19.87,22.1,No,358,53.9,Low
Yellow_R4,Al Malaz,Prince Mohammed Bin Abdulaziz Street,5,Saturday,5.81,7.2,No,208,48.3,Low
Blue_R3,Olaya Street,Imam Muhammad Bin Saud University,19,Monday,14.31,18.9,No,312,45.4,Low
Green_R2,Al Batha,Al Murabba,7,Sunday,2.95,5.4,Yes,508,32.9,Medium
Yellow_R4,Al Aziziyah,Al Murabba,15,Saturday,14.87,16.4,No,290,54.3,Low
Green_R2,Al Batha,Al Malaz,14,Tuesday,23.92,29.4,No,683,48.8,Medium
Red_R1,Al Hayer,Prince Mohammed Bin Abdulaziz Street,23,Saturday,23.39,34.1,No,308,41.1,Low
Green_R2,Olaya Street,Prince Mohammed Bin Abdulaziz Street,13,Thursday,8.96,13,No,454,41.3,Medium
Green_R2,Al Yarmouk,Al Batha,4,Thursday,14.98,20.4,No,340,44,Low
Red_R1,Prince Mohammed Bin Abdulaziz Street,Qasr Al Hokm,1,Wednesday,16.2,16.5,No,234,58.8,Low
Red_R1,Prince Mohammed Bin Abdulaziz Street,Al Batha,12,Wednesday,18.74,19.8,No,475,56.9,Medium
Red_R1,Al Malaz,Al Murabba,7,Sunday,6.42,8.2,Yes,817,46.7,High
Red_R1,Al Hayer,Al Suwaidi,13,Monday,16.34,22.2,No,872,44.1,Medium
Green_R2,Imam Muhammad Bin Saud University,King Fahad Road,7,Friday,9.69,14.3,Yes,431,40.8,Medium
Red_R1,Qasr Al Hokm,Al Murabba,21,Tuesday,6.54,7.5,No,688,52.2,Medium
Green_R2,Al Hayer,Al Malaz,18,Friday,12.07,23.3,Yes,483,31.1,Medium
Red_R1,Al Malaz,Al Murabba,4,Saturday,14.84,26.3,No,90,33.9,Low
Yellow_R4,King Khalid International Airport,Al Aziziyah,11,Friday,18.95,52.9,No,404,21.5,Medium
Yellow_R4,Al Hayer,Salah Al Din,0,Saturday,12.92,23.1,No,646,33.5,Low
Red_R1,Prince Mohammed Bin Abdulaziz Street,Al Suwaidi,10,Thursday,13.16,33.7,No,454,23.4,Medium
Red_R1,King Fahad Road,Al Malaz,8,Friday,24.37,35.9,Yes,394,40.7,Low
Green_R2,Al Suwaidi,Salah Al Din,2,Thursday,13.12,21.2,No,488,37.2,Low
Blue_R3,Al Hayer,Qasr Al Hokm,16,Friday,3.72,9.2,Yes,526,24.2,Medium
Blue_R3,Al Yarmouk,Qasr Al Hokm,3,Wednesday,6.48,9.7,No,494,40.2,Low
Blue_R3,Al Malaz,Salah Al Din,1,Tuesday,19.68,52.5,No,252,22.5,Low
Blue_R3,King Khalid International Airport,Al Hayer,17,Friday,2.84,7.7,Yes,629,22.1,Medium
Red_R1,Al Murabba,Al Suwaidi,6,Monday,21.19,51.5,No,388,24.7,Low
Blue_R3,Olaya Street,Al Batha,3,Friday,21.41,42.1,No,313,30.5,Low
Yellow_R4,Al Hayer,Al Aziziyah,18,Saturday,11.7,32.5,Yes,925,21.6,High
Green_R2,Al Suwaidi,Al Hayer,7,Tuesday,15.13,27.3,Yes,386,33.3,Low
Blue_R3,Al Yarmouk,King Fahad Road,16,Friday,9.26,22.9,Yes,482,24.3,Medium
Yellow_R4,King Fahad Road,Qasr Al Hokm,2,Tuesday,19.63,20.1,No,361,58.7,Low
Blue_R3,Al Malaz,Al Murabba,16,Thursday,24.31,26.7,Yes,839,54.6,High
Red_R1,Al Malaz,Al Suwaidi,17,Friday,8.56,11.4,Yes,720,45.2,Medium
Blue_R3,Al Malaz,Salah Al Din,11,Saturday,12.48,19.1,No,278,39.3,Low
Red_R1,Olaya Street,Al Murabba,2,Sunday,9.31,9.8,No,543,57,Low
Yellow_R4,Al Yarmouk,King Khalid International Airport,9,Sunday,3.29,5,Yes,630,39.4,Medium
Red_R1,King Khalid International Airport,Imam Muhammad Bin Saud University,3,Friday,14.57,29.1,No,514,30,Low
Green_R2,Al Malaz,King Khalid International Airport,6,Thursday,9.9,11,No,505,54.1,Medium
Red_R1,King Fahad Road,Al Malaz,21,Thursday,4.29,12.5,No,822,20.6,Medium
Green_R2,Al Malaz,Imam Muhammad Bin Saud University,13,Wednesday,24.16,41.3,No,289,35.1,Low
Red_R1,King Fahad Road,Olaya Street,2,Sunday,17.71,18.5,No,427,57.3,Low
Green_R2,Al Aziziyah,Al Murabba,20,Tuesday,15.24,36.6,No,619,25,Medium
Yellow_R4,Al Batha,Imam Muhammad Bin Saud University,20,Friday,11.35,12.3,No,467,55.2,Medium
Blue_R3,Al Malaz,Salah Al Din,21,Friday,16.92,18.1,No,257,56,Low
Yellow_R4,Al Malaz,King Fahad Road,18,Monday,9.12,19.5,Yes,647,28.1,Medium
Blue_R3,King Khalid International Airport,Al Aziziyah,8,Monday,22.9,27.3,Yes,421,50.4,Medium
Yellow_R4,Imam Muhammad Bin Saud University,King Fahad Road,1,Monday,6.23,7.4,No,558,50.3,Low
Blue_R3,King Fahad Road,Al Murabba,5,Thursday,12.91,26.7,No,333,29,Low
Green_R2,Al Hayer,Al Murabba,9,Monday,9.5,14.7,Yes,616,38.7,Medium
Green_R2,Al Aziziyah,Al Hayer,22,Friday,5.4,5.5,No,341,59.4,Low
Green_R2,King Khalid International Airport,King Fahad Road,3,Sunday,6.68,7.9,No,354,50.8,Low
Blue_R3,Al Batha,King Khalid International Airport,14,Tuesday,11.79,16.6,No,596,42.6,Medium
Blue_R3,King Khalid International Airport,King Fahad Road,17,Friday,22.36,57.1,Yes,566,23.5,Medium
Red_R1,Salah Al Din,Imam Muhammad Bin Saud University,11,Monday,14.38,15.3,No,570,56.5,Medium
Blue_R3,Al Malaz,Al Batha,5,Thursday,5.08,5.3,No,341,57.4,Low
Blue_R3,King Abdullah Financial District,Qasr Al Hokm,12,Wednesday,19.28,20,No,235,57.7,Low
Green_R2,Al Malaz,Imam Muhammad Bin Saud University,4,Sunday,23.58,45.6,No,613,31,Low
Blue_R3,Salah Al Din,Al Suwaidi,9,Wednesday,9.64,12.1,Yes,689,48,Medium
Blue_R3,Al Suwaidi,Al Batha,21,Monday,18.99,50.4,No,311,22.6,Low
Yellow_R4,Imam Muhammad Bin Saud University,Al Suwaidi,3,Friday,10.91,20.9,No,602,31.3,Low
Yellow_R4,Al Yarmouk,Qasr Al Hokm,4,Friday,24.46,41.8,No,532,35.1,Low
Red_R1,King Fahad Road,Qasr Al Hokm,12,Thursday,20.44,32.8,No,369,37.4,Low
Green_R2,Al Malaz,Imam Muhammad Bin Saud University,2,Tuesday,23.8,49.6,No,434,28.8,Low
Red_R1,Al Batha,Al Hayer,6,Thursday,9.5,11.4,No,633,50.2,Medium
Green_R2,Al Suwaidi,Al Aziziyah,8,Monday,12.23,14.8,Yes,370,49.7,Low
Red_R1,King Abdullah Financial District,Al Batha,14,Friday,7.25,19.5,No,363,22.3,Low
Red_R1,Al Murabba,Prince Mohammed Bin Abdulaziz Street,6,Wednesday,5.86,10.3,No,116,34.2,Low
Blue_R3,Al Batha,Salah Al Din,16,Sunday,11.2,30.1,Yes,743,22.3,Medium
Blue_R3,Prince Mohammed Bin Abdulaziz Street,King Khalid International Airport,22,Saturday,5.49,7.5,No,431,43.9,Medium
Yellow_R4,Imam Muhammad Bin Saud University,Al Malaz,11,Sunday,17.29,28.2,No,289,36.8,Low
Blue_R3,Imam Muhammad Bin Saud University,Prince Mohammed Bin Abdulaziz Street,9,Wednesday,13.61,40.2,Yes,848,20.3,High
Red_R1,Olaya Street,Al Suwaidi,14,Friday,17.91,23.1,No,383,46.5,Low
Yellow_R4,Al Suwaidi,Al Malaz,9,Monday,24.52,40,Yes,541,36.8,Medium
Yellow_R4,Al Hayer,Prince Mohammed Bin Abdulaziz Street,4,Saturday,13.54,14.4,No,492,56.4,Low
Red_R1,King Khalid International Airport,King Fahad Road,9,Wednesday,20.35,22.4,Yes,845,54.6,High
Blue_R3,King Abdullah Financial District,Salah Al Din,12,Sunday,12.51,19.2,No,458,39,Medium
Red_R1,Prince Mohammed Bin Abdulaziz Street,Al Hayer,8,Wednesday,18.03,46.4,Yes,585,23.3,Medium
Green_R2,Al Murabba,Al Malaz,22,Thursday,21.85,33.4,No,412,39.2,Medium
Green_R2,Olaya Street,King Khalid International Airport,12,Tuesday,11.59,12.6,No,287,55.1,Low
Yellow_R4,Qasr Al Hokm,Al Yarmouk,9,Saturday,6.69,7.6,Yes,502,53.1,Medium
Blue_R3,Al Malaz,Al Batha,23,Wednesday,24.35,36.1,No,412,40.5,Medium
Green_R2,Qasr Al Hokm,Al Aziziyah,0,Monday,8.69,13.4,No,335,38.8,Low
Blue_R3,King Fahad Road,Al Hayer,20,Wednesday,6.43,15.3,No,519,25.2,Medium
Red_R1,Salah Al Din,Al Hayer,9,Wednesday,8.85,10.4,Yes,368,51.2,Low
Green_R2,Al Malaz,Al Suwaidi,20,Monday,5.82,10.5,No,375,33.3,Low
Red_R1,King Abdullah Financial District,Al Aziziyah,8,Wednesday,23.62,42.1,Yes,598,33.7,Medium
Red_R1,Al Batha,Al Suwaidi,11,Thursday,6.12,6.6,No,446,55.6,Medium
Yellow_R4,Al Batha,Prince Mohammed Bin Abdulaziz Street,8,Friday,12.59,15.6,Yes,641,48.4,Medium
Yellow_R4,Al Hayer,Al Yarmouk,3,Tuesday,8.48,18.6,No,323,27.4,Low
Red_R1,Al Aziziyah,King Fahad Road,5,Thursday,2.91,8.4,No,328,20.9,Low
Red_R1,King Khalid International Airport,Prince Mohammed Bin Abdulaziz Street,14,Friday,12.76,17.3,No,453,44.2,Medium
Green_R2,Imam Muhammad Bin Saud University,King Khalid International Airport,1,Tuesday,11.85,33.7,No,459,21.1,Low
Blue_R3,Prince Mohammed Bin Abdulaziz Street,Al Hayer,11,Sunday,11.96,17.3,No,439,41.4,Medium
Blue_R3,King Fahad Road,Al Batha,20,Sunday,12.97,21.9,No,564,35.6,Medium
Green_R2,Al Suwaidi,Salah Al Din,5,Saturday,23.32,23.9,No,165,58.5,Low
Red_R1,Al Batha,Al Aziziyah,5,Thursday,13.71,21.6,No,436,38.1,Low
Blue_R3,Al Aziziyah,Imam Muhammad Bin Saud University,21,Saturday,8.5,16.3,No,236,31.2,Low
Blue_R3,King Fahad Road,Al Hayer,22,Friday,11.31,11.3,No,416,60,Medium
Blue_R3,King Abdullah Financial District,Al Batha,18,Tuesday,3.9,8.9,Yes,506,26.2,Medium
Green_R2,Qasr Al Hokm,Olaya Street,16,Tuesday,12.11,18,Yes,471,40.4,Medium
Blue_R3,Al Suwaidi,Al Malaz,13,Tuesday,4,7.5,No,231,32.1,Low
Green_R2,King Abdullah Financial District,King Fahad Road,4,Thursday,24.23,25.2,No,519,57.8,Low
Green_R2,Al Aziziyah,Olaya Street,17,Thursday,22.92,68.1,Yes,321,20.2,Low
Red_R1,Prince Mohammed Bin Abdulaziz Street,Al Murabba,2,Sunday,20.65,21.4,No,406,57.9,Low
Green_R2,Al Yarmouk,Qasr Al Hokm,15,Tuesday,2.33,4.6,No,483,30.3,Medium
Blue_R3,Al Hayer,Imam Muhammad Bin Saud University,4,Saturday,12.35,15.5,No,448,47.7,Low
Yellow_R4,Al Yarmouk,Al Batha,16,Saturday,14.27,23.7,Yes,329,36.2,Low
Blue_R3,King Khalid International Airport,Al Suwaidi,9,Sunday,5.89,6,Yes,599,59.1,Medium
Red_R1,Olaya Street,King Khalid International Airport,22,Monday,15.87,32.7,No,576,29.1,Medium
Green_R2,King Fahad Road,King Khalid International Airport,6,Monday,14.51,18.2,No,441,47.8,Medium
Red_R1,Prince Mohammed Bin Abdulaziz Street,Al Suwaidi,3,Sunday,16.06,27.7,No,401,34.8,Low
Red_R1,Al Suwaidi,Al Malaz,13,Sunday,19.76,44.2,No,165,26.8,Low
Green_R2,King Abdullah Financial District,Qasr Al Hokm,21,Thursday,11.93,14,No,223,51.3,Low
Red_R1,Al Malaz,King Abdullah Financial District,8,Sunday,13.14,15.2,Yes,323,51.8,Low
Red_R1,King Fahad Road,Al Hayer,0,Saturday,20.63,42,No,533,29.5,Low
Red_R1,Al Suwaidi,King Abdullah Financial District,19,Monday,7.16,10.7,No,424,40.2,Medium
Green_R2,King Khalid International Airport,Al Hayer,11,Sunday,12.25,12.5,No,729,58.7,Medium
Red_R1,King Khalid International Airport,Al Yarmouk,23,Tuesday,15.14,16.7,No,431,54.5,Medium
Blue_R3,Imam Muhammad Bin Saud University,King Khalid International Airport,16,Saturday,21.96,30.4,Yes,436,43.3,Medium
Green_R2,Al Murabba,Salah Al Din,2,Sunday,18.51,31.8,No,386,34.9,Low
Red_R1,Al Murabba,Olaya Street,22,Monday,11.07,12.1,No,266,54.7,Low
Blue_R3,King Khalid International Airport,Al Aziziyah,17,Sunday,7.61,7.8,Yes,713,58.7,Medium
Red_R1,Al Yarmouk,Olaya Street,16,Saturday,24.23,38.6,Yes,556,37.7,Medium
Yellow_R4,Imam Muhammad Bin Saud University,Al Suwaidi,18,Monday,9.38,13.7,Yes,431,41,Medium
Yellow_R4,Salah Al Din,King Abdullah Financial District,5,Saturday,18.94,51.4,No,539,22.1,Low
Blue_R3,Prince Mohammed Bin Abdulaziz Street,Al Malaz,6,Thursday,3.13,5.3,No,196,35.5,Low
Green_R2,Prince Mohammed Bin Abdulaziz Street,King Abdullah Financial District,10,Sunday,13.29,24.3,No,238,32.8,Low
Yellow_R4,King Abdullah Financial District,Al Batha,4,Wednesday,6.42,11.9,No,389,32.4,Low
Blue_R3,Al Hayer,King Fahad Road,17,Friday,12.23,17,Yes,654,43.1,Medium
Red_R1,King Abdullah Financial District,Prince Mohammed Bin Abdulaziz Street,15,Sunday,24.62,49.7,No,573,29.7,Medium
Yellow_R4,King Fahad Road,Al Murabba,19,Friday,15.97,40.8,No,545,23.5,Medium
Blue_R3,Salah Al Din,Al Yarmouk,14,Monday,17.57,46.6,No,626,22.6,Medium
Yellow_R4,King Fahad Road,Al Yarmouk,13,Monday,6.85,7.7,No,490,53.7,Medium
Red_R1,Al Yarmouk,Al Aziziyah,15,Friday,2.7,3,No,177,53.8,Low
Blue_R3,King Khalid International Airport,Qasr Al Hokm,21,Wednesday,5.08,5.2,No,368,58.1,Low
Red_R1,Prince Mohammed Bin Abdulaziz Street,Al Murabba,16,Friday,3.67,7.9,Yes,780,28,Medium
Red_R1,King Abdullah Financial District,Olaya Street,12,Wednesday,14.53,34.9,No,170,25,Low
Red_R1,Al Hayer,King Khalid International Airport,2,Tuesday,8.66,17.6,No,336,29.6,Low
Green_R2,Imam Muhammad Bin Saud University,Olaya Street,19,Saturday,18.19,38,No,195,28.7,Low
Yellow_R4,King Abdullah Financial District,King Fahad Road,13,Friday,10.43,17.6,No,305,35.6,Low
Yellow_R4,King Fahad Road,Al Aziziyah,22,Saturday,3.56,6.5,No,509,32.7,Medium
Blue_R3,Al Suwaidi,Al Aziziyah,20,Wednesday,8.14,12.1,No,474,40.2,Medium
Blue_R3,Al Malaz,Al Hayer,19,Wednesday,21.43,37.4,No,457,34.4,Medium
Yellow_R4,Al Murabba,King Fahad Road,4,Saturday,17.81,32.9,No,423,32.5,Low
Yellow_R4,King Abdullah Financial District,King Khalid International Airport,8,Wednesday,2.23,3.7,Yes,549,36.4,Medium
Yellow_R4,Olaya Street,Al Hayer,4,Sunday,9.58,12.1,No,285,47.7,Low
Red_R1,Al Hayer,Qasr Al Hokm,2,Wednesday,20.67,39,No,555,31.8,Low
Red_R1,King Khalid International Airport,Al Malaz,19,Friday,12.27,15,No,502,49.1,Medium
Blue_R3,King Khalid International Airport,Imam Muhammad Bin Saud University,19,Thursday,16.02,17,No,226,56.6,Low
Red_R1,Al Suwaidi,King Abdullah Financial District,21,Saturday,5.6,6.7,No,150,50.1,Low
Yellow_R4,Al Suwaidi,Al Malaz,6,Tuesday,12.91,23.2,No,475,33.4,Medium
Yellow_R4,Al Malaz,Al Batha,8,Thursday,15.32,16.5,Yes,892,55.6,High
Blue_R3,Al Suwaidi,Al Yarmouk,17,Thursday,13.93,38,Yes,753,22,Medium
Red_R1,Al Suwaidi,Qasr Al Hokm,13,Sunday,7.36,11.1,No,258,39.7,Low
Yellow_R4,Al Malaz,Imam Muhammad Bin Saud University,12,Wednesday,13.6,24.8,No,315,32.9,Low
Yellow_R4,Qasr Al Hokm,King Abdullah Financial District,5,Thursday,7.94,12.3,No,460,38.6,Low
Blue_R3,Al Yarmouk,Al Hayer,5,Wednesday,4.44,5.2,No,507,51,Low
Yellow_R4,King Khalid International Airport,Imam Muhammad Bin Saud University,22,Wednesday,20.58,24.4,No,446,50.7,Medium
Yellow_R4,Al Suwaidi,King Abdullah Financial District,18,Friday,21.19,29.5,Yes,476,43.1,Medium
Yellow_R4,Salah Al Din,Al Murabba,21,Thursday,16.87,26.4,No,321,38.3,Low
Yellow_R4,Al Malaz,Al Batha,5,Thursday,16.7,43,No,404,23.3,Low
Red_R1,Prince Mohammed Bin Abdulaziz Street,King Fahad Road,15,Thursday,12.01,22.7,No,236,31.7,Low
Yellow_R4,Al Batha,Al Hayer,11,Saturday,17.91,20.7,No,420,51.8,Medium
Blue_R3,Imam Muhammad Bin Saud University,Qasr Al Hokm,0,Thursday,5.76,14.3,No,50,24.2,Low
Red_R1,King Khalid International Airport,Al Yarmouk,11,Tuesday,4.45,5.8,No,706,46,Medium
Red_R1,Al Suwaidi,Salah Al Din,10,Wednesday,21.96,24.8,No,299,53.1,Low
Red_R1,Prince Mohammed Bin Abdulaziz Street,Imam Muhammad Bin Saud University,11,Wednesday,4.59,12.5,No,429,22,Medium
Blue_R3,Qasr Al Hokm,Al Hayer,7,Monday,7.92,18.7,Yes,497,25.4,Medium
Green_R2,Salah Al Din,King Fahad Road,18,Sunday,23.69,32,Yes,385,44.4,Low
Red_R1,Al Aziziyah,King Fahad Road,3,Tuesday,21.2,26.3,No,448,48.4,Low
Green_R2,Qasr Al Hokm,Al Batha,10,Sunday,8.33,11,No,320,45.6,Low
Yellow_R4,Salah Al Din,Al Yarmouk,13,Thursday,9.84,9.9,No,264,59.9,Low
Yellow_R4,King Fahad Road,Qasr Al Hokm,22,Wednesday,23.41,66.9,No,255,21,Low
Red_R1,Imam Muhammad Bin Saud University,Al Malaz,18,Wednesday,18.02,22.1,Yes,673,49,Medium
Blue_R3,Al Batha,King Abdullah Financial District,15,Sunday,16.89,40.4,No,560,25.1,Medium
Green_R2,Imam Muhammad Bin Saud University,Al Murabba,16,Saturday,16.95,17.2,Yes,581,59.3,Medium
Blue_R3,King Khalid International Airport,Salah Al Din,9,Tuesday,2.92,5.1,Yes,727,34.5,Medium
Yellow_R4,Olaya Street,Al Murabba,20,Saturday,21.01,26.2,No,299,48.1,Low
Red_R1,Al Aziziyah,Al Yarmouk,17,Monday,11.82,18.3,Yes,590,38.8,Medium
Blue_R3,King Fahad Road,Qasr Al Hokm,9,Thursday,23.36,30.7,Yes,639,45.6,Medium
Yellow_R4,Al Suwaidi,Olaya Street,19,Friday,3.52,3.6,No,107,58.9,Low
Red_R1,Al Hayer,Al Yarmouk,18,Sunday,10.28,15.8,Yes,805,39.1,High
Blue_R3,King Fahad Road,King Abdullah Financial District,18,Saturday,17.23,21.3,Yes,437,48.6,Medium
Yellow_R4,Prince Mohammed Bin Abdulaziz Street,Olaya Street,11,Saturday,8.17,15,No,452,32.6,Medium
Red_R1,Salah Al Din,Al Yarmouk,9,Thursday,2.92,4,Yes,473,43.9,Medium
Blue_R3,Prince Mohammed Bin Abdulaziz Street,Al Hayer,17,Tuesday,22,23.7,Yes,332,55.6,Low
Green_R2,Prince Mohammed Bin Abdulaziz Street,Al Malaz,8,Thursday,3.77,4.8,Yes,265,46.8,Low
Yellow_R4,Salah Al Din,Al Aziziyah,17,Monday,20.89,42.1,Yes,776,29.8,Medium
Red_R1,Salah Al Din,Al Suwaidi,16,Saturday,22.17,44.8,Yes,559,29.7,Medium
Green_R2,Al Batha,Al Malaz,6,Friday,14.66,31.8,No,482,27.7,Medium
Yellow_R4,King Fahad Road,Al Hayer,17,Saturday,3.12,3.5,Yes,702,53.7,Medium
Yellow_R4,Al Yarmouk,Al Batha,23,Friday,12.08,21.5,No,268,33.7,Low
Red_R1,Al Murabba,Olaya Street,11,Wednesday,19.4,26.9,No,414,43.3,Medium
Green_R2,Olaya Street,King Khalid International Airport,23,Friday,6.29,13.7,No,572,27.5,Medium
Blue_R3,Al Aziziyah,Prince Mohammed Bin Abdulaziz Street,13,Tuesday,2.4,6.5,No,444,22,Medium
Red_R1,Salah Al Din,Olaya Street,13,Tuesday,15.17,17.2,No,226,52.8,Low
Blue_R3,Salah Al Din,King Khalid International Airport,8,Friday,15.72,30.4,Yes,400,31,Medium
Green_R2,Prince Mohammed Bin Abdulaziz Street,Olaya Street,3,Monday,2.61,3.2,No,578,49.4,Low
Green_R2,Qasr Al Hokm,King Fahad Road,9,Wednesday,19.06,24.3,Yes,877,47,High
Yellow_R4,Al Murabba,Prince Mohammed Bin Abdulaziz Street,13,Friday,6.74,11.9,No,527,34.1,Medium
Red_R1,Olaya Street,King Khalid International Airport,8,Monday,24.14,32.1,Yes,662,45.1,Medium
Red_R1,King Fahad Road,Al Aziziyah,8,Friday,6.23,15.4,Yes,648,24.2,Medium
Green_R2,Salah Al Din,Al Yarmouk,1,Friday,16.22,19,No,592,51.3,Low
Yellow_R4,Al Suwaidi,Qasr Al Hokm,1,Saturday,18.18,20.4,No,330,53.4,Low
Red_R1,Imam Muhammad Bin Saud University,Salah Al Din,9,Saturday,16.73,30.8,Yes,713,32.6,Medium
Red_R1,Al Yarmouk,Prince Mohammed Bin Abdulaziz Street,11,Friday,24.03,67.7,No,220,21.3,Low
Red_R1,Prince Mohammed Bin Abdulaziz Street,Al Yarmouk,23,Saturday,18.38,40.8,No,442,27,Medium
Green_R2,Olaya Street,King Abdullah Financial District,18,Friday,7.41,11.2,Yes,663,39.8,Medium
Red_R1,Al Murabba,Al Hayer,18,Saturday,13.51,14.3,Yes,513,56.5,Medium
Blue_R3,Al Malaz,King Abdullah Financial District,7,Thursday,5.37,7,Yes,511,45.8,Medium
Red_R1,Al Suwaidi,Al Aziziyah,10,Tuesday,17.72,24.3,No,331,43.7,Low
Yellow_R4,Al Suwaidi,Al Hayer,23,Monday,19.36,35.9,No,74,32.4,Low
Yellow_R4,Olaya Street,King Khalid International Airport,3,Monday,24.63,46.6,No,220,31.7,Low
Green_R2,King Fahad Road,Al Murabba,13,Tuesday,8.78,15.4,No,162,34.2,Low
Red_R1,Al Malaz,Al Batha,11,Friday,23.05,45.2,No,461,30.6,Medium
Red_R1,Imam Muhammad Bin Saud University,Al Batha,13,Wednesday,22.6,56.3,No,503,24.1,Medium
Green_R2,King Fahad Road,Al Aziziyah,4,Tuesday,5.88,6,No,439,58.7,Low
Yellow_R4,Al Hayer,Imam Muhammad Bin Saud University,9,Sunday,12.42,12.9,Yes,421,57.8,Medium
Red_R1,Al Aziziyah,Al Hayer,21,Saturday,6.33,11.8,No,558,32.1,Medium
Red_R1,Al Hayer,Al Aziziyah,21,Monday,4.14,9.6,No,373,25.8,Low
Blue_R3,Al Murabba,Prince Mohammed Bin Abdulaziz Street,9,Friday,20.3,47.4,Yes,463,25.7,Medium
Blue_R3,Al Yarmouk,Al Suwaidi,21,Sunday,5,6.6,No,326,45.7,Low
Green_R2,Al Aziziyah,Al Malaz,12,Sunday,17.08,24.7,No,561,41.5,Medium
Yellow_R4,Al Yarmouk,King Fahad Road,9,Sunday,17.57,22.3,Yes,391,47.3,Low
Green_R2,King Fahad Road,Olaya Street,5,Wednesday,2.9,4.6,No,514,38.2,Low
Blue_R3,Al Yarmouk,Al Suwaidi,20,Wednesday,22.49,31.5,No,475,42.8,Medium
Red_R1,King Fahad Road,Al Yarmouk,2,Saturday,17.51,17.7,No,268,59.2,Low
Yellow_R4,Al Malaz,Al Suwaidi,13,Saturday,24.67,31.2,No,511,47.5,Medium
